name,inspection_result,inspection_closed_business,violation_type,violation_points
100 LB CLAM,Incomplete,FALSE,,0
100 LB CLAM,Unsatisfactory,FALSE,BLUE,5
100 LB CLAM,Unsatisfactory,FALSE,RED,5
100 LB CLAM,Unsatisfactory,FALSE,RED,10
100 LB CLAM,Unsatisfactory,FALSE,RED,5
100 LB CLAM,Complete,FALSE,,0
100 LB CLAM,Complete,FALSE,,0
100 PERCENT NUTRICION,Unsatisfactory,FALSE,BLUE,5
100 PERCENT NUTRICION,Unsatisfactory,FALSE,BLUE,5
100 PERCENT NUTRICION,Unsatisfactory,FALSE,RED,10
100 PERCENT NUTRICION,Unsatisfactory,FALSE,RED,5
1000 SPIRITS,Satisfactory,FALSE,BLUE,5
1000 SPIRITS,Satisfactory,FALSE,,0
1000 SPIRITS,Unsatisfactory,FALSE,RED,5
1000 SPIRITS,Complete,FALSE,,0
1000 SPIRITS,Satisfactory,FALSE,BLUE,5
1000 SPIRITS,Satisfactory,FALSE,,0
1000 SPIRITS,Unsatisfactory,FALSE,BLUE,5
1000 SPIRITS,Unsatisfactory,FALSE,BLUE,2
1000 SPIRITS,Unsatisfactory,FALSE,RED,25
1000 SPIRITS,Unsatisfactory,FALSE,RED,25
1000 SPIRITS,Unsatisfactory,FALSE,BLUE,5
1000 SPIRITS,Unsatisfactory,FALSE,RED,5
1000 SPIRITS,Unsatisfactory,FALSE,RED,25
1000 SPIRITS,Unsatisfactory,FALSE,RED,25
1000 SPIRITS,Unsatisfactory,FALSE,RED,10
1000 SPIRITS,Satisfactory,FALSE,,0
1000 SPIRITS,Complete,FALSE,,0
1000 SPIRITS,Satisfactory,FALSE,,0
101 GROCERY,,,,0
108 AUTHENTIC VIETNAMESE CUISINE,Unsatisfactory,FALSE,BLUE,5
108 AUTHENTIC VIETNAMESE CUISINE,Unsatisfactory,FALSE,BLUE,5
108 AUTHENTIC VIETNAMESE CUISINE,Unsatisfactory,FALSE,RED,5
108 AUTHENTIC VIETNAMESE CUISINE,Unsatisfactory,FALSE,RED,10
108 AUTHENTIC VIETNAMESE CUISINE,Complete,FALSE,,0
108 AUTHENTIC VIETNAMESE CUISINE,Complete,FALSE,,0
108 AUTHENTIC VIETNAMESE CUISINE,Unsatisfactory,FALSE,BLUE,5
108 AUTHENTIC VIETNAMESE CUISINE,Unsatisfactory,FALSE,RED,5
108 AUTHENTIC VIETNAMESE CUISINE,Complete,FALSE,,0
108 AUTHENTIC VIETNAMESE CUISINE,Unsatisfactory,FALSE,BLUE,5
108 AUTHENTIC VIETNAMESE CUISINE,Unsatisfactory,FALSE,RED,10
108 AUTHENTIC VIETNAMESE CUISINE,Satisfactory,FALSE,BLUE,5
108 AUTHENTIC VIETNAMESE CUISINE,Complete,FALSE,,0
108 AUTHENTIC VIETNAMESE CUISINE,Unsatisfactory,FALSE,BLUE,5
108 AUTHENTIC VIETNAMESE CUISINE,Unsatisfactory,FALSE,RED,10
108 AUTHENTIC VIETNAMESE CUISINE,Satisfactory,FALSE,BLUE,5
108 AUTHENTIC VIETNAMESE CUISINE,Satisfactory,FALSE,BLUE,5
108 AUTHENTIC VIETNAMESE CUISINE,Unsatisfactory,FALSE,BLUE,5
108 AUTHENTIC VIETNAMESE CUISINE,Unsatisfactory,FALSE,BLUE,5
108 AUTHENTIC VIETNAMESE CUISINE,Unsatisfactory,FALSE,BLUE,5
108 AUTHENTIC VIETNAMESE CUISINE,Unsatisfactory,FALSE,RED,5
